series_id                     	year	period	value	footnote_codes
ORUC1000002W00001191          	2022	A01	47.0	7
ORUC1000002W00001192          	2022	A01	17.9	
ORUC1000002W00001193          	2022	A01	9.8	
ORUC1000002W00001194          	2022	A01	2.7	
ORUC1000002W00001197          	2022	A01	83.8	7
ORUC1000002W00001198          	2022	A01	16.2	
ORUC1000002W00001205          	2022	A01	37.8	
ORUC1000002W00001206          	2022	A01	62.2	7
ORUC1000002X00001150          	2022	A01	82.1	7
ORUC1000002X00001156          	2022	A01	54.4	7
ORUC1000002X00001157          	2022	A01	44.9	
ORUC1000002X00001160          	2022	A01	16.4	
ORUC1000002X00001161          	2022	A01	83.6	7
ORUC1000002X00001166          	2022	A01	32.6	
ORUC1000002X00001167          	2022	A01	64.7	7
ORUC1000002X00001171          	2022	A01	22.9	
ORUC1000002X00001172          	2022	A01	11.5	
ORUC1000002X00001173          	2022	A01	65.6	7
ORUC1000002X00001176          	2022	A01	99.0	7
ORUC1000002X00001180          	2022	A01	9.8	
ORUC1000002X00001181          	2022	A01	74.1	7
ORUC1000002X00001182          	2022	A01	16.1	
ORUC1000002X00001187          	2022	A01	100.0	7
ORUC1000002X00001190          	2022	A01	31.0	
ORUC1000002X00001191          	2022	A01	39.0	7
ORUC1000002X00001192          	2022	A01	15.4	
ORUC1000002X00001205          	2022	A01	1.8	
ORUC1000002X00001206          	2022	A01	98.2	7
ORUC1000002Y00001150          	2022	A01	94.8	7
ORUC1000002Y00001155          	2022	A01	-	1
ORUC1000002Y00001156          	2022	A01	32.2	
ORUC1000002Y00001157          	2022	A01	67.7	7
ORUC1000002Y00001160          	2022	A01	41.3	
ORUC1000002Y00001161          	2022	A01	58.7	7
ORUC1000002Y00001166          	2022	A01	21.0	
ORUC1000002Y00001167          	2022	A01	78.1	7
ORUC1000002Y00001171          	2022	A01	42.9	
ORUC1000002Y00001172          	2022	A01	3.4	
ORUC1000002Y00001173          	2022	A01	53.7	7
ORUC1000002Y00001180          	2022	A01	4.6	
ORUC1000002Y00001181          	2022	A01	70.3	7
ORUC1000002Y00001182          	2022	A01	24.8	
ORUC1000002Y00001183          	2022	A01	-	1
ORUC1000002Y00001187          	2022	A01	100.0	7
ORUC1000002Y00001190          	2022	A01	54.0	7
ORUC1000002Y00001191          	2022	A01	15.4	
ORUC1000002Y00001192          	2022	A01	18.6	
ORUC1000002Y00001197          	2022	A01	78.0	7
ORUC1000002Y00001198          	2022	A01	22.0	
ORUC1000002Y00001205          	2022	A01	61.2	7
ORUC1000002Y00001206          	2022	A01	38.8	
ORUC1000002Z00001149          	2022	A01	24.4	
ORUC1000002Z00001150          	2022	A01	75.6	7
ORUC1000002Z00001155          	2022	A01	5.7	
ORUC1000002Z00001156          	2022	A01	42.7	
ORUC1000002Z00001157          	2022	A01	47.3	7
ORUC1000002Z00001160          	2022	A01	48.9	
ORUC1000002Z00001161          	2022	A01	51.1	7
ORUC1000002Z00001165          	2022	A01	1.3	
ORUC1000002Z00001166          	2022	A01	40.4	
ORUC1000002Z00001167          	2022	A01	58.3	7
ORUC1000002Z00001171          	2022	A01	40.3	
ORUC1000002Z00001172          	2022	A01	5.3	
